# JMH version: 1.37
# VM version: JDK 22.0.2, OpenJDK 64-Bit Server VM, 22.0.2+9-FR
# VM invoker: /Users/dmitryvasilkov/Library/Java/JavaVirtualMachines/corretto-22.0.2/Contents/Home/bin/java
# VM options: -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=57912:/Applications/IntelliJ IDEA.app/Contents/bin -Dfile.encoding=UTF-8 -Dsun.stdout.encoding=UTF-8 -Dsun.stderr.encoding=UTF-8
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 5 s each
# Measurement: 20 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: backend.academy.benchmark.service.ReflectionBenchmark.directAccess

# Run progress: 0,00% complete, ETA 01:06:40
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 0,606 ns/op
# Warmup Iteration   2: 0,605 ns/op
# Warmup Iteration   3: 0,613 ns/op
# Warmup Iteration   4: 0,607 ns/op
# Warmup Iteration   5: 0,606 ns/op
# Warmup Iteration   6: 0,607 ns/op
# Warmup Iteration   7: 0,606 ns/op
# Warmup Iteration   8: 0,610 ns/op
# Warmup Iteration   9: 0,614 ns/op
# Warmup Iteration  10: 0,605 ns/op
Iteration   1: 0,604 ns/op
Iteration   2: 0,608 ns/op
Iteration   3: 0,604 ns/op
Iteration   4: 0,606 ns/op
Iteration   5: 0,605 ns/op
Iteration   6: 0,607 ns/op
Iteration   7: 0,604 ns/op
Iteration   8: 0,606 ns/op
Iteration   9: 0,604 ns/op
Iteration  10: 0,606 ns/op
Iteration  11: 0,606 ns/op
Iteration  12: 0,605 ns/op
Iteration  13: 0,609 ns/op
Iteration  14: 0,605 ns/op
Iteration  15: 0,605 ns/op
Iteration  16: 0,606 ns/op
Iteration  17: 0,605 ns/op
Iteration  18: 0,606 ns/op
Iteration  19: 0,606 ns/op
Iteration  20: 0,609 ns/op

# Run progress: 6,25% complete, ETA 01:07:21
# Fork: 1 of 3
# Warmup Iteration   1: 0,615 ns/op
# Warmup Iteration   2: 0,617 ns/op
# Warmup Iteration   3: 0,619 ns/op
# Warmup Iteration   4: 0,618 ns/op
# Warmup Iteration   5: 0,618 ns/op
# Warmup Iteration   6: 0,628 ns/op
# Warmup Iteration   7: 0,631 ns/op
# Warmup Iteration   8: 0,624 ns/op
# Warmup Iteration   9: 0,624 ns/op
# Warmup Iteration  10: 0,632 ns/op
Iteration   1: 0,620 ns/op
Iteration   2: 0,618 ns/op
Iteration   3: 0,604 ns/op
Iteration   4: 0,604 ns/op
Iteration   5: 0,605 ns/op
Iteration   6: 0,606 ns/op
Iteration   7: 0,608 ns/op
Iteration   8: 0,613 ns/op
Iteration   9: 0,608 ns/op
Iteration  10: 0,608 ns/op
Iteration  11: 0,614 ns/op
Iteration  12: 0,606 ns/op
Iteration  13: 0,612 ns/op
Iteration  14: 0,615 ns/op
Iteration  15: 0,615 ns/op
Iteration  16: 0,618 ns/op
Iteration  17: 0,616 ns/op
Iteration  18: 0,608 ns/op
Iteration  19: 0,612 ns/op
Iteration  20: 0,612 ns/op

# Run progress: 12,50% complete, ETA 01:02:52
# Fork: 2 of 3
# Warmup Iteration   1: 0,611 ns/op
# Warmup Iteration   2: 0,611 ns/op
# Warmup Iteration   3: 0,612 ns/op
# Warmup Iteration   4: 0,609 ns/op
# Warmup Iteration   5: 0,609 ns/op
# Warmup Iteration   6: 0,611 ns/op
# Warmup Iteration   7: 0,610 ns/op
# Warmup Iteration   8: 0,619 ns/op
# Warmup Iteration   9: 0,617 ns/op
# Warmup Iteration  10: 0,621 ns/op
Iteration   1: 0,635 ns/op
Iteration   2: 0,613 ns/op
Iteration   3: 0,620 ns/op
Iteration   4: 0,619 ns/op
Iteration   5: 0,612 ns/op
Iteration   6: 0,615 ns/op
Iteration   7: 0,633 ns/op
Iteration   8: 0,615 ns/op
Iteration   9: 0,621 ns/op
Iteration  10: 0,618 ns/op
Iteration  11: 0,611 ns/op
Iteration  12: 0,614 ns/op
Iteration  13: 0,608 ns/op
Iteration  14: 0,611 ns/op
Iteration  15: 0,619 ns/op
Iteration  16: 0,612 ns/op
Iteration  17: 0,608 ns/op
Iteration  18: 0,608 ns/op
Iteration  19: 0,616 ns/op
Iteration  20: 0,607 ns/op

# Run progress: 18,75% complete, ETA 00:58:24
# Fork: 3 of 3
# Warmup Iteration   1: 0,610 ns/op
# Warmup Iteration   2: 0,611 ns/op
# Warmup Iteration   3: 0,613 ns/op
# Warmup Iteration   4: 0,608 ns/op
# Warmup Iteration   5: 0,608 ns/op
# Warmup Iteration   6: 0,615 ns/op
# Warmup Iteration   7: 0,610 ns/op
# Warmup Iteration   8: 0,610 ns/op
# Warmup Iteration   9: 0,618 ns/op
# Warmup Iteration  10: 0,611 ns/op
Iteration   1: 0,613 ns/op
Iteration   2: 0,609 ns/op
Iteration   3: 0,612 ns/op
Iteration   4: 0,609 ns/op
Iteration   5: 0,611 ns/op
Iteration   6: 0,610 ns/op
Iteration   7: 0,607 ns/op
Iteration   8: 0,608 ns/op
Iteration   9: 0,607 ns/op
Iteration  10: 0,610 ns/op
Iteration  11: 0,607 ns/op
Iteration  12: 0,615 ns/op
Iteration  13: 0,608 ns/op
Iteration  14: 0,615 ns/op
Iteration  15: 0,607 ns/op
Iteration  16: 0,612 ns/op
Iteration  17: 0,608 ns/op
Iteration  18: 0,613 ns/op
Iteration  19: 0,610 ns/op
Iteration  20: 0,609 ns/op


Result "backend.academy.benchmark.service.ReflectionBenchmark.directAccess":
0,612 ±(99.9%) 0,003 ns/op [Average]
(min, avg, max) = (0,604, 0,612, 0,635), stdev = 0,006
CI (99.9%): [0,610, 0,615] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 22.0.2, OpenJDK 64-Bit Server VM, 22.0.2+9-FR
# VM invoker: /Users/dmitryvasilkov/Library/Java/JavaVirtualMachines/corretto-22.0.2/Contents/Home/bin/java
# VM options: -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=57912:/Applications/IntelliJ IDEA.app/Contents/bin -Dfile.encoding=UTF-8 -Dsun.stdout.encoding=UTF-8 -Dsun.stderr.encoding=UTF-8
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 5 s each
# Measurement: 20 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: backend.academy.benchmark.service.ReflectionBenchmark.lambdaMetafactory

# Run progress: 25,00% complete, ETA 00:53:55
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 0,856 ns/op
# Warmup Iteration   2: 0,853 ns/op
# Warmup Iteration   3: 0,860 ns/op
# Warmup Iteration   4: 0,861 ns/op
# Warmup Iteration   5: 0,854 ns/op
# Warmup Iteration   6: 0,856 ns/op
# Warmup Iteration   7: 0,886 ns/op
# Warmup Iteration   8: 0,902 ns/op
# Warmup Iteration   9: 0,906 ns/op
# Warmup Iteration  10: 0,900 ns/op
Iteration   1: 0,895 ns/op
Iteration   2: 0,888 ns/op
Iteration   3: 0,885 ns/op
Iteration   4: 0,884 ns/op
Iteration   5: 0,903 ns/op
Iteration   6: 0,883 ns/op
Iteration   7: 0,889 ns/op
Iteration   8: 0,888 ns/op
Iteration   9: 0,885 ns/op
Iteration  10: 0,889 ns/op
Iteration  11: 0,896 ns/op
Iteration  12: 0,883 ns/op
Iteration  13: 0,884 ns/op
Iteration  14: 0,883 ns/op
Iteration  15: 0,884 ns/op
Iteration  16: 0,885 ns/op
Iteration  17: 0,882 ns/op
Iteration  18: 0,881 ns/op
Iteration  19: 0,904 ns/op
Iteration  20: 0,881 ns/op

# Run progress: 31,25% complete, ETA 00:49:25
# Fork: 1 of 3
# Warmup Iteration   1: 0,885 ns/op
# Warmup Iteration   2: 0,884 ns/op
# Warmup Iteration   3: 0,887 ns/op
# Warmup Iteration   4: 0,883 ns/op
# Warmup Iteration   5: 0,886 ns/op
# Warmup Iteration   6: 0,885 ns/op
# Warmup Iteration   7: 0,886 ns/op
# Warmup Iteration   8: 0,884 ns/op
# Warmup Iteration   9: 0,884 ns/op
# Warmup Iteration  10: 0,883 ns/op
Iteration   1: 0,882 ns/op
Iteration   2: 0,884 ns/op
Iteration   3: 0,883 ns/op
Iteration   4: 0,882 ns/op
Iteration   5: 0,916 ns/op
Iteration   6: 0,882 ns/op
Iteration   7: 0,883 ns/op
Iteration   8: 0,887 ns/op
Iteration   9: 0,882 ns/op
Iteration  10: 0,883 ns/op
Iteration  11: 0,883 ns/op
Iteration  12: 0,883 ns/op
Iteration  13: 0,882 ns/op
Iteration  14: 0,883 ns/op
Iteration  15: 0,882 ns/op
Iteration  16: 0,904 ns/op
Iteration  17: 0,884 ns/op
Iteration  18: 0,884 ns/op
Iteration  19: 0,890 ns/op
Iteration  20: 0,885 ns/op

# Run progress: 37,50% complete, ETA 00:44:55
# Fork: 2 of 3
# Warmup Iteration   1: 0,884 ns/op
# Warmup Iteration   2: 0,887 ns/op
# Warmup Iteration   3: 0,886 ns/op
# Warmup Iteration   4: 0,887 ns/op
# Warmup Iteration   5: 0,886 ns/op
# Warmup Iteration   6: 0,886 ns/op
# Warmup Iteration   7: 0,886 ns/op
# Warmup Iteration   8: 0,887 ns/op
# Warmup Iteration   9: 0,889 ns/op
# Warmup Iteration  10: 0,900 ns/op
Iteration   1: 0,884 ns/op
Iteration   2: 0,907 ns/op
Iteration   3: 0,886 ns/op
Iteration   4: 0,885 ns/op
Iteration   5: 0,889 ns/op
Iteration   6: 0,889 ns/op
Iteration   7: 0,885 ns/op
Iteration   8: 0,888 ns/op
Iteration   9: 0,886 ns/op
Iteration  10: 0,885 ns/op
Iteration  11: 0,885 ns/op
Iteration  12: 0,890 ns/op
Iteration  13: 0,900 ns/op
Iteration  14: 0,892 ns/op
Iteration  15: 0,885 ns/op
Iteration  16: 0,887 ns/op
Iteration  17: 0,891 ns/op
Iteration  18: 0,886 ns/op
Iteration  19: 0,888 ns/op
Iteration  20: 0,885 ns/op

# Run progress: 43,75% complete, ETA 00:40:26
# Fork: 3 of 3
# Warmup Iteration   1: 0,887 ns/op
# Warmup Iteration   2: 0,888 ns/op
# Warmup Iteration   3: 0,892 ns/op
# Warmup Iteration   4: 0,888 ns/op
# Warmup Iteration   5: 0,886 ns/op
# Warmup Iteration   6: 0,887 ns/op
# Warmup Iteration   7: 0,888 ns/op
# Warmup Iteration   8: 0,919 ns/op
# Warmup Iteration   9: 0,896 ns/op
# Warmup Iteration  10: 0,885 ns/op
Iteration   1: 0,885 ns/op
Iteration   2: 0,891 ns/op
Iteration   3: 0,885 ns/op
Iteration   4: 0,886 ns/op
Iteration   5: 0,887 ns/op
Iteration   6: 0,886 ns/op
Iteration   7: 0,889 ns/op
Iteration   8: 0,886 ns/op
Iteration   9: 0,883 ns/op
Iteration  10: 0,885 ns/op
Iteration  11: 0,905 ns/op
Iteration  12: 0,889 ns/op
Iteration  13: 0,896 ns/op
Iteration  14: 0,887 ns/op
Iteration  15: 0,886 ns/op
Iteration  16: 0,888 ns/op
Iteration  17: 0,889 ns/op
Iteration  18: 0,886 ns/op
Iteration  19: 0,885 ns/op
Iteration  20: 0,885 ns/op


Result "backend.academy.benchmark.service.ReflectionBenchmark.lambdaMetafactory":
0,888 ±(99.9%) 0,003 ns/op [Average]
(min, avg, max) = (0,882, 0,888, 0,916), stdev = 0,007
CI (99.9%): [0,885, 0,891] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 22.0.2, OpenJDK 64-Bit Server VM, 22.0.2+9-FR
# VM invoker: /Users/dmitryvasilkov/Library/Java/JavaVirtualMachines/corretto-22.0.2/Contents/Home/bin/java
# VM options: -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=57912:/Applications/IntelliJ IDEA.app/Contents/bin -Dfile.encoding=UTF-8 -Dsun.stdout.encoding=UTF-8 -Dsun.stderr.encoding=UTF-8
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 5 s each
# Measurement: 20 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: backend.academy.benchmark.service.ReflectionBenchmark.methodHandles

# Run progress: 50,00% complete, ETA 00:35:56
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 4,128 ns/op
# Warmup Iteration   2: 4,456 ns/op
# Warmup Iteration   3: 3,965 ns/op
# Warmup Iteration   4: 3,788 ns/op
# Warmup Iteration   5: 3,771 ns/op
# Warmup Iteration   6: 3,758 ns/op
# Warmup Iteration   7: 3,766 ns/op
# Warmup Iteration   8: 3,780 ns/op
# Warmup Iteration   9: 3,768 ns/op
# Warmup Iteration  10: 3,732 ns/op
Iteration   1: 3,620 ns/op
Iteration   2: 3,618 ns/op
Iteration   3: 3,631 ns/op
Iteration   4: 3,669 ns/op
Iteration   5: 3,712 ns/op
Iteration   6: 3,665 ns/op
Iteration   7: 3,680 ns/op
Iteration   8: 3,818 ns/op
Iteration   9: 3,701 ns/op
Iteration  10: 3,678 ns/op
Iteration  11: 3,680 ns/op
Iteration  12: 3,681 ns/op
Iteration  13: 3,679 ns/op
Iteration  14: 3,689 ns/op
Iteration  15: 3,684 ns/op
Iteration  16: 3,684 ns/op
Iteration  17: 3,691 ns/op
Iteration  18: 3,678 ns/op
Iteration  19: 3,677 ns/op
Iteration  20: 3,681 ns/op

# Run progress: 56,25% complete, ETA 00:31:27
# Fork: 1 of 3
# Warmup Iteration   1: 4,057 ns/op
# Warmup Iteration   2: 4,413 ns/op
# Warmup Iteration   3: 3,727 ns/op
# Warmup Iteration   4: 3,710 ns/op
# Warmup Iteration   5: 3,718 ns/op
# Warmup Iteration   6: 3,723 ns/op
# Warmup Iteration   7: 3,699 ns/op
# Warmup Iteration   8: 3,695 ns/op
# Warmup Iteration   9: 3,743 ns/op
# Warmup Iteration  10: 3,730 ns/op
Iteration   1: 3,691 ns/op
Iteration   2: 3,687 ns/op
Iteration   3: 3,700 ns/op
Iteration   4: 3,720 ns/op
Iteration   5: 3,714 ns/op
Iteration   6: 3,704 ns/op
Iteration   7: 3,688 ns/op
Iteration   8: 3,736 ns/op
Iteration   9: 3,685 ns/op
Iteration  10: 3,720 ns/op
Iteration  11: 3,715 ns/op
Iteration  12: 3,707 ns/op
Iteration  13: 3,712 ns/op
Iteration  14: 3,704 ns/op
Iteration  15: 3,718 ns/op
Iteration  16: 3,710 ns/op
Iteration  17: 3,696 ns/op
Iteration  18: 3,766 ns/op
Iteration  19: 3,713 ns/op
Iteration  20: 3,712 ns/op

# Run progress: 62,50% complete, ETA 00:26:57
# Fork: 2 of 3
# Warmup Iteration   1: 4,074 ns/op
# Warmup Iteration   2: 4,326 ns/op
# Warmup Iteration   3: 3,616 ns/op
# Warmup Iteration   4: 3,635 ns/op
# Warmup Iteration   5: 3,648 ns/op
# Warmup Iteration   6: 3,626 ns/op
# Warmup Iteration   7: 3,632 ns/op
# Warmup Iteration   8: 3,616 ns/op
# Warmup Iteration   9: 3,638 ns/op
# Warmup Iteration  10: 3,618 ns/op
Iteration   1: 3,625 ns/op
Iteration   2: 3,636 ns/op
Iteration   3: 3,646 ns/op
Iteration   4: 3,630 ns/op
Iteration   5: 3,620 ns/op
Iteration   6: 3,607 ns/op
Iteration   7: 3,603 ns/op
Iteration   8: 3,655 ns/op
Iteration   9: 3,613 ns/op
Iteration  10: 3,620 ns/op
Iteration  11: 3,636 ns/op
Iteration  12: 3,616 ns/op
Iteration  13: 3,616 ns/op
Iteration  14: 3,659 ns/op
Iteration  15: 3,614 ns/op
Iteration  16: 3,613 ns/op
Iteration  17: 3,616 ns/op
Iteration  18: 3,617 ns/op
Iteration  19: 3,618 ns/op
Iteration  20: 3,607 ns/op

# Run progress: 68,75% complete, ETA 00:22:28
# Fork: 3 of 3
# Warmup Iteration   1: 4,045 ns/op
# Warmup Iteration   2: 4,283 ns/op
# Warmup Iteration   3: 3,630 ns/op
# Warmup Iteration   4: 3,637 ns/op
# Warmup Iteration   5: 3,633 ns/op
# Warmup Iteration   6: 3,622 ns/op
# Warmup Iteration   7: 3,671 ns/op
# Warmup Iteration   8: 3,655 ns/op
# Warmup Iteration   9: 3,634 ns/op
# Warmup Iteration  10: 3,622 ns/op
Iteration   1: 3,608 ns/op
Iteration   2: 3,690 ns/op
Iteration   3: 3,640 ns/op
Iteration   4: 3,683 ns/op
Iteration   5: 3,720 ns/op
Iteration   6: 3,677 ns/op
Iteration   7: 3,678 ns/op
Iteration   8: 3,691 ns/op
Iteration   9: 3,683 ns/op
Iteration  10: 3,671 ns/op
Iteration  11: 3,721 ns/op
Iteration  12: 3,671 ns/op
Iteration  13: 3,680 ns/op
Iteration  14: 3,695 ns/op
Iteration  15: 3,699 ns/op
Iteration  16: 3,687 ns/op
Iteration  17: 3,690 ns/op
Iteration  18: 3,689 ns/op
Iteration  19: 3,678 ns/op
Iteration  20: 3,690 ns/op


Result "backend.academy.benchmark.service.ReflectionBenchmark.methodHandles":
3,672 ±(99.9%) 0,018 ns/op [Average]
(min, avg, max) = (3,603, 3,672, 3,766), stdev = 0,041
CI (99.9%): [3,653, 3,690] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 22.0.2, OpenJDK 64-Bit Server VM, 22.0.2+9-FR
